Data;CAlg;Subp;Num.Trcs;Num.Act;Num.Evt;DAlg;Fitn;Prec;Gen;Size;NumTrans;ACD;CFC;CNC;Density;Time.HierAct;Time.Hierlog;Time.Dalg;Time.quality;t/o fit;t/o gen;
BPIC15_4;DK;16_LGSV;372;1;372;IMf;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;158;5694;0;318;false;false;
BPIC15_4;DK;16_LGSV;372;1;372;IM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;158;5694;1;264;false;false;
BPIC15_4;DK;09_AWB45;131;1;146;SM;1.0;0.9736379613356766;0.9866429207479964;8;1;3.0;3;1.0;0.14285714285714285;158;5694;4;407;false;false;
BPIC15_4;DK;09_AWB45;131;1;146;IMf;0.9522900763358777;1.0;0.9757014970590009;3;1;NaN;0;0.6666666666666666;0.3333333333333333;158;5694;1;272;false;false;
BPIC15_4;DK;09_AWB45;131;1;146;IM;1.0;0.9651462158748664;0.9822640250157585;6;1;3.0;2;1.0;0.2;158;5694;0;272;false;false;
BPIC15_4;DK;01_HOOFD_1;1011;22;5017;SM;0.7151292974546065;0.6582728760238161;0.729381033176071;111;22;5.276923076923077;95;1.954954954954955;0.01777231777231777;158;5694;440;35383;false;false;
BPIC15_4;DK;01_HOOFD_1;1011;22;5017;IMf;0.8676044593562255;0.48244716037943725;0.651191577003018;79;21;3.342857142857143;52;1.2911392405063291;0.016553067185978577;158;5694;705;16826;false;false;
BPIC15_4;DK;01_HOOFD_1;1011;22;5017;IM;1.0;0.24957035261017757;0.4462800533668721;113;22;3.245614035087719;84;1.3097345132743363;0.011694058154235146;158;5694;453;537596;false;false;
BPIC15_4;DK;01_HOOFD_0;1052;18;8542;SM;0.9024738086915804;0.6937419918270286;0.799066971385062;65;18;4.684210526315789;44;1.3846153846153846;0.021634615384615384;158;5694;205;7235;false;false;
BPIC15_4;DK;01_HOOFD_0;1052;18;8542;IMf;0.973893122364705;0.41785446056570236;0.6460966952855318;68;16;3.3703703703703702;36;1.2647058823529411;0.01887620719929763;158;5694;236;10180;false;false;
BPIC15_4;DK;01_HOOFD_0;1052;18;8542;IM;1.0;0.1908028628016879;0.3373220288462228;115;18;3.267857142857143;78;1.3043478260869565;0.011441647597254004;158;5694;233;1102808;false;false;
BPIC15_4;DK;01_HOOFD_5;861;16;5694;SM;0.7065949579491507;0.5088097713645356;0.6193613602042048;97;16;4.893939393939394;89;1.9793814432989691;0.020618556701030927;158;5694;224;29987;false;false;
BPIC15_4;DK;01_HOOFD_5;861;16;5694;IMf;0.9120709700503;0.4491998281756726;0.6024539190815825;68;15;3.2903225806451615;43;1.2941176470588236;0.019315188762071993;158;5694;88;12842;false;false;
BPIC15_4;DK;01_HOOFD_5;861;16;5694;IM;1.0;0.19698376771947657;0.33571585510056795;96;16;3.3;70;1.3333333333333333;0.014035087719298246;158;5694;91;100014;false;false;
BPIC15_4;DK;01_HOOFD_4;872;33;8102;SM;0.5352648518792548;0.6849671975398881;0.5958653900237857;155;33;4.47945205479452;121;1.5806451612903225;0.010263929618768328;158;5694;361;156482;false;false;
BPIC15_4;DK;01_HOOFD_4;872;33;8102;IMf;0.9905424071187328;0.4572081748636877;0.6277077519365076;91;30;3.75;64;1.3406593406593406;0.014896214896214897;158;5694;173;31201;false;false;
BPIC15_4;DK;01_HOOFD_4;872;33;8102;IM;0.0;0.0;0.0;168;33;3.292682926829268;118;1.3095238095238095;0.00784145993726832;158;5694;260;600032;true;false;
BPIC15_4;DK;01_HOOFD_3;875;8;3320;SM;0.936615797900308;0.6879349666005916;0.8726716490790557;38;8;4.130434782608695;30;1.631578947368421;0.044096728307254626;158;5694;59;767;false;false;
BPIC15_4;DK;01_HOOFD_3;875;8;3320;IMf;0.9765246630888993;0.8740840336134454;0.9442313950219824;27;8;3.111111111111111;12;1.1851851851851851;0.045584045584045586;158;5694;52;562;false;false;
BPIC15_4;DK;01_HOOFD_3;875;8;3320;IM;1.0;0.31906800830684634;0.505995071861685;55;8;3.1538461538461537;37;1.2727272727272727;0.02356902356902357;158;5694;68;1720;false;false;
BPIC15_4;DK;01_HOOFD_2;889;11;2988;SM;0.9761073397147914;0.9085401055929999;0.8518364467426877;41;11;3.466666666666667;26;1.2682926829268293;0.03170731707317073;158;5694;53;1002;false;false;
BPIC15_4;DK;01_HOOFD_2;889;11;2988;IMf;0.9722476494709015;0.8400457712255791;0.9031494367545934;44;11;3.176470588235294;24;1.2272727272727273;0.02854122621564482;158;5694;67;1008;false;false;
BPIC15_4;DK;01_HOOFD_2;889;11;2988;IM;1.0;0.4876373478668931;0.7149607637168606;87;11;3.175;59;1.264367816091954;0.014701951349906442;158;5694;46;3021;false;false;
BPIC15_4;DK;01_HOOFD_7;33;1;35;SM;1.0;0.9855072463768116;0.9927007299270074;8;1;3.0;3;1.0;0.14285714285714285;158;5694;3;266;false;false;
BPIC15_4;DK;01_HOOFD_7;33;1;35;IMf;0.9747474747474747;1.0;0.9842022116903634;3;1;NaN;0;0.6666666666666666;0.3333333333333333;158;5694;0;290;false;false;
BPIC15_4;DK;01_HOOFD_7;33;1;35;IM;1.0;0.9807674526121128;0.9902903557090842;6;1;3.0;2;1.0;0.2;158;5694;0;243;false;false;
BPIC15_4;DK;01_HOOFD_8;437;9;825;SM;0.8484064244933811;0.7599194279635959;0.7933484668944205;39;9;3.4761904761904763;28;1.3846153846153846;0.03643724696356275;158;5694;35;1045;false;false;
BPIC15_4;DK;01_HOOFD_8;437;9;825;IMf;0.9578364801182476;0.752129181665643;0.7623911302628831;36;9;3.411764705882353;24;1.3333333333333333;0.0380952380952381;158;5694;14;1122;false;false;
BPIC15_4;DK;01_HOOFD_8;437;9;825;IM;1.0;0.42050443751494015;0.6582330217216348;49;9;3.2;35;1.3061224489795917;0.027210884353741496;158;5694;23;1688;false;false;
BPIC15_5;DK;16_LGSD;316;1;317;SM;1.0;0.9992107340173638;0.9991666170310595;8;1;3.0;3;1.0;0.14285714285714285;134;7267;1446;1132;false;false;
BPIC15_5;DK;16_LGSD;316;1;317;IMf;0.9986814345991561;1.0;0.9993244156195109;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;245;338;false;false;
BPIC15_5;DK;16_LGSD;316;1;317;IM;1.0;0.9989479218551109;0.999016611640929;6;1;3.0;2;1.0;0.2;134;7267;23;304;false;false;
BPIC15_5;DK;15_NGV;190;2;191;SM;1.0;1.0;0.9987090111025045;6;2;2.5;2;1.0;0.2;134;7267;41;308;false;false;
BPIC15_5;DK;15_NGV;190;2;191;IMf;1.0;1.0;0.9989113868930982;6;2;2.5;2;1.0;0.2;134;7267;72;249;false;false;
BPIC15_5;DK;15_NGV;190;2;191;IM;1.0;1.0;0.9989444796284568;6;2;2.5;2;1.0;0.2;134;7267;17;274;false;false;
BPIC15_5;DK;03_GBH;713;1;713;SM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;11;327;false;false;
BPIC15_5;DK;03_GBH;713;1;713;IMf;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;1;245;false;false;
BPIC15_5;DK;03_GBH;713;1;713;IM;1.0;1.0;1.0;3;1;NaN;0;0.6666666666666666;0.3333333333333333;134;7267;1;290;false;false;
